Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name, Sales ,Quantity,Discount, Profit ,Cluster,Customer Category
1,CA-2019-152156,11/8/2019,11/11/2019,Second Class,CG-12520,Claire Gute,Consumer,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,$261.96 ,2,0%,$41.91 ,0,Moderate
2,CA-2019-152156,11/8/2019,11/11/2019,Second Class,CG-12520,Claire Gute,Consumer,Henderson,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",$731.94 ,3,0%,$219.58 ,0,Moderate
3,CA-2019-138688,6/12/2019,6/16/2019,Second Class,DV-13045,Darrin Van Huff,Corporate,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,$14.62 ,2,0%,$6.87 ,0,Moderate
4,US-2018-108966,10/11/2018,10/18/2018,Standard Class,SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,$957.58 ,5,45%,($383.03),2,Unprofitable
5,US-2018-108966,10/11/2018,10/18/2018,Standard Class,SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,$22.37 ,2,20%,$2.52 ,0,Moderate
6,CA-2017-115812,6/9/2017,6/14/2017,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",$48.86 ,7,0%,$14.17 ,0,Moderate
7,CA-2017-115812,6/9/2017,6/14/2017,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,$7.28 ,4,0%,$1.97 ,0,Moderate
8,CA-2017-115812,6/9/2017,6/14/2017,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,$907.15 ,6,20%,$90.72 ,0,Moderate
9,CA-2017-115812,6/9/2017,6/14/2017,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,$18.50 ,3,20%,$5.78 ,0,Moderate
10,CA-2017-115812,6/9/2017,6/14/2017,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,$114.90 ,5,0%,$34.47 ,0,Moderate
11,CA-2017-115812,6/9/2017,6/14/2017,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,"$1,706.18 ",9,20%,$85.31 ,0,Moderate
12,CA-2017-115812,6/9/2017,6/14/2017,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,$911.42 ,4,20%,$68.36 ,0,Moderate
13,CA-2020-114412,4/15/2020,4/20/2020,Standard Class,AA-10480,Andrew Allen,Consumer,Concord,North Carolina,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,$15.55 ,3,20%,$5.44 ,0,Moderate
14,CA-2019-161389,12/5/2019,12/10/2019,Standard Class,IM-15070,Irene Maddox,Consumer,Seattle,Washington,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,$407.98 ,3,20%,$132.59 ,0,Moderate
15,US-2018-118983,11/22/2018,11/26/2018,Standard Class,HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",$68.81 ,5,80%,($123.86),2,Unprofitable
16,US-2018-118983,11/22/2018,11/26/2018,Standard Class,HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,$2.54 ,3,80%,($3.82),2,Unprofitable
17,CA-2017-105893,11/11/2017,11/18/2017,Standard Class,PK-19075,Pete Kriz,Consumer,Madison,Wisconsin,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",$665.88 ,6,0%,$13.32 ,0,Moderate
18,CA-2017-167164,5/13/2017,5/15/2017,Second Class,AG-10270,Alejandro Grove,Consumer,West Jordan,Utah,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,$55.50 ,2,0%,$9.99 ,0,Moderate
19,CA-2017-143336,8/27/2017,9/1/2017,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,$8.56 ,2,0%,$2.48 ,0,Moderate
20,CA-2017-143336,8/27/2017,9/1/2017,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,$213.48 ,3,20%,$16.01 ,0,Moderate
21,CA-2017-143336,8/27/2017,9/1/2017,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",$22.72 ,4,20%,$7.38 ,0,Moderate
22,CA-2019-137330,12/9/2019,12/13/2019,Standard Class,KB-16585,Ken Black,Corporate,Fremont,Nebraska,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,$19.46 ,7,0%,$5.06 ,0,Moderate
